NA,Phytobenthos,NA,Littoral
NA,Phytoplankton,NA,Pelagic
NA,Phytoplankton,NA,Pelagic
NA,Phytoplankton,NA,Pelagic
NA,Phytobenthos,NA,Littoral
NA,Phytoplankton,NA,Pelagic
NA,Phytobenthos,NA,Littoral
NA,Phytoplankton,NA,Pelagic
NA,Phytobenthos,NA,Littoral
NA,Phytoplankton,NA,Pelagic
Esocidae,Vertebrate,C,Pelagic/Littoral
Salmonidae,Vertebrate,C,Pelagic/Littoral
Lotidae,Vertebrate,C,Littoral
Cyprinidae,Vertebrate,C,Pelagic/Littoral
Ictaluridae,Vertebrate,C,Littoral
Percidae,Vertebrate,C,Pelagic/Littoral
Cottidae,Vertebrate,C,Littoral
Astacidae,Invertebrate,O,Littoral
Blenniidae,Vertebrate,C,Littoral
Centrarchidae,Vertebrate,C,Littoral
Cambaridae,Invertebrate,O,Littoral
Dreissenidae,Invertebrate,O,Littoral
Coenagrionidae,Invertebrate,C,Littoral
Glossiphoniidae,Invertebrate,C,Littoral
Gomphidae,Invertebrate,C,Littoral
Libellulidae,Invertebrate,C,Littoral
Ephemeridae,Invertebrate,C,Pelagic/Littoral
Gammaridae,Invertebrate,O,Littoral
Crambidae,Invertebrate,H,Littoral
Cercopagididae,Zooplankton,C,Pelagic
Leptodoridae,Zooplankton,C,Pelagic
Polycentropodidae,Invertebrate,C,Pelagic/Littoral
Physidae,Invertebrate,H,Littoral
Leptoceridae,Invertebrate,O,Pelagic/Littoral
Chaoboridae,Invertebrate,C,Pelagic/Littoral
Empididae,Invertebrate,C,Pelagic/Littoral
Ecnomidae,Invertebrate,O,Pelagic/Littoral
Sphaeriidae,Invertebrate,O,Littoral
Chironomidae,Invertebrate,H,Pelagic/Littoral
Baetidae,Invertebrate,O,Pelagic/Littoral
Beraeidae,Invertebrate,O,Pelagic/Littoral
Psychomiidae,Invertebrate,C,Pelagic/Littoral
Lymnaeidae,Invertebrate,H,Littoral
Planorbidae,Invertebrate,H,Littoral
Valvatidae,Invertebrate,H,Littoral
Bithyniidae,Invertebrate,H,Littoral
Caenidae,Invertebrate,O,Pelagic/Littoral
Hydroptilidae,Invertebrate,O,Pelagic/Littoral
Tateidae,Invertebrate,H,Littoral
Ceratopogonidae,Invertebrate,O,Littoral
Daphniidae,Zooplankton,H,Pelagic
Corixidae,Invertebrate,O,Littoral
Cyclopidae,Zooplankton,O,Pelagic
Sididae,Zooplankton,O,Pelagic
Asplanchnidae,Zooplankton,H,Pelagic
Brachionidae,Zooplankton,H,Pelagic
Bosminidae,Zooplankton,H,Pelagic
Concochilidae,Zooplankton,H,Pelagic
