61,0,0
61,0,0
60,0,0
50,0,0
35,0,0
35,0,0
30,0,0
30,0,0
29,0,0
25,0,0
1500000,40000,400000
900000,40000,300000
400000,10000,150000
325000,10000,50000
268333,10000,50000
225000,1000,20000
200000,1000,20000
90000,1000,15000
87500,1000,15000
80000,1000,15000
70000,1000,10000
62500,1,5000
25000,1,5000
20500,1,5000
19000,1,5000
18500,1,5000
18500,1,5000
16250,1,5000
15250,1,5000
13500,1,4000
12500,1,4000
12500,1,4000
12175,1000,4000
9175,2,330
8650,1000,4000
8500,1000,4000
8000,1000,4000
7700,1000,4000
7682,2,330
7171,1000,4000
6500,750,2700
6400,750,2700
6400,750,2700
6000,2,330
5500,2,330
5500,2,330
5000,2,330
4500,750,2700
3850,750,2700
3750,2,330
1900,100,500
1820,100,500
1625,100,500
1050,100,500
895,100,500
850,1,330
725,1,330
447,100,300
225,7,120
